Title,Date,Category
"Nasaf FC clinches first championship, defeating Lokomotiv Tashkent in key match",2024-11-01,SPORT
Unemployment rate in Uzbekistan drops to 5.8%,2024-11-01,SOCIETY
Shavkat Mirziyoyev announces measures to combat rising food prices,2024-11-01,SOCIETY
Russia’s ex-president calls for excluding non-Russian-speaking migrant children from schools,2024-11-01,SOCIETY
President Mirziyoyev proposes reopening Zarafshan Airport,2024-11-01,SOCIETY
Central Bank of Uzbekistan outlines economic scenarios for 2025-2027,2024-11-01,SOCIETY
"Uzbekistan’s universities see growing international enrollment, led by South Asian students",2024-11-01,SOCIETY
"Reports of ministers resigning for parliamentary seats refuted; Nazarbekov, Umarova remain in office",2024-11-01,SOCIETY
"IT Park Uzbekistan establishes Seoul office, fostering growth in digital collaboration",2024-11-01,SOCIETY
"Uzbekistan digitizes pension system, introduces inflation-based adjustments",2024-11-01,SOCIETY
Central Bank: Uzbekistan’s energy import reliance on Russia poses price risks,2024-11-01,SOCIETY
Government increases social norm for natural gas consumption as heating season begins,2024-11-01,SOCIETY
Fergana region introduces differential fare system for public transport,2024-11-01,SOCIETY
Energy prices set to rise in Uzbekistan: Central Bank weighs impact on inflation,2024-11-01,SOCIETY
Monthly inflation in October hits 5-year low,2024-11-01,SOCIETY
President Mirziyoyev launches $3.6 billion investment projects in Navoi region,2024-11-01,SOCIETY
Heating and hot water tariffs to increase by 15% in Tashkent,2024-10-31,SOCIETY
Uzbekistan to abolish excise tax on mobile communications,2024-10-31,SOCIETY
Qanot Sharq launches regular flights from Tashkent to Seoul,2024-10-31,BUSINESS
Cross-border remittances to Uzbekistan surge by 35%,2024-10-31,BUSINESS
UzAuto Motors raises Cobalt prices,2024-10-31,BUSINESS
Government plans to raise taxes for marketplace sellers next year,2024-10-31,BUSINESS
Central Bank keeps key rate unchanged at 13.5% amidst inflation concerns,2024-10-31,BUSINESS
CIS leaders to hold informal summit on strengthening cooperation in late December,2024-10-31,POLITICS
Customs authorities apprehend man trying to smuggle 380 million UZS worth of jewelry into Uzbekistan,2024-10-31,SOCIETY
IFC partners with ACWA Power to support Uzbekistan's renewable energy transition,2024-10-31,BUSINESS
Uzbekistan's top 10 trade partners for 2024: China and Russia top the list,2024-10-31,BUSINESS
U.S. expands sanctions to include two more Uzbekistan-based companies,2024-10-31,BUSINESS
Heating delays in Uzbekistan amid cold snap raise concerns,2024-10-31,BUSINESS
Uzbekistan and Turkmenistan to launch electronic permit system for freight transportation,2024-10-31,SOCIETY
Saida Mirziyoyeva attends Fashion Trust Arabia awards ceremony in Morocco,2024-10-31,POLITICS
Uzbekistan team wins TechWomen 2024 with groundbreaking autism awareness project,2024-10-31,CULTURE
"Uzbekistan’s population density shows regional imbalance, with Tashkent leading",2024-10-30,SOCIETY
Ministry of Economy proposes $6.5 billion cap on public-private partnership liabilities,2024-10-30,SOCIETY
"Uzbekistan sees surge in vehicle registration plate sales, generating 620 billion UZS",2024-10-30,SOCIETY
Humo and Uzcard join forces with India’s UPI for enhanced payment solutions,2024-10-30,SOCIETY
Boysun residents demand urgent action as toxic gas threatens health,2024-10-30,SOCIETY
"2025 budget: Uzbekistan plans extensive support for energy, education, and housing",2024-10-30,SOCIETY
New international university to open in Uzbekistan with Japanese Partnership,2024-10-30,POLITICS
Uzbekistan reduces government and local administration workforce,2024-10-30,POLITICS
