,Title,Date,Category,Tokens,Negative,Neutral,Positive,Compound,Month,Week
2545,Two students attempt to kill a taxi driver in Tashkent region,2024-05-01,SOCIETY,"['two', 'students', 'attempt', 'kill', 'taxi', 'driver', 'tashkent', 'region']",0.402,0.598,0.0,-0.6908,2024-05,2024-04-29/2024-05-05
2536,Yandex Go to launch a taxi tariff with e-cars in Uzbekistan,2024-05-01,BUSINESS,"['yandex', 'go', 'launch', 'taxi', 'tariff', 'ecars', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2543,New governor appointed to Bukhara city,2024-05-01,POLITICS,"['new', 'governor', 'appointed', 'bukhara', 'city']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2541,New deputy governor of Syrdarya region appointed,2024-05-01,POLITICS,"['new', 'deputy', 'governor', 'syrdarya', 'region', 'appointed']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2540,Laziz Kudratov held talks with AIIB vice-president,2024-05-01,BUSINESS,"['laziz', 'kudratov', 'held', 'talks', 'aiib', 'vicepresident']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2539,New Uzbekistan University students to do internship at Massachusetts Institute of Technology,2024-05-01,SOCIETY,"['new', 'uzbekistan', 'university', 'students', 'internship', 'massachusetts', 'institute', 'technology']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2538,The Tax Committee comments on alleged control of p2p transfers,2024-05-01,BUSINESS,"['tax', 'committee', 'comments', 'alleged', 'control', 'pp', 'transfers']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2537,Civil servants embezzle more than 3.3 billion soums allocated for mosques and madrasas in Bukhara,2024-05-01,BUSINESS,"['civil', 'servants', 'embezzle', 'billion', 'soums', 'allocated', 'mosques', 'madrasas', 'bukhara']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2544,Power outages expected in two districts of Tashkent,2024-05-01,SOCIETY,"['power', 'outages', 'expected', 'two', 'districts', 'tashkent']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2542,Fees for state kindergartens to be doubled in Uzbekistan,2024-05-01,BUSINESS,"['fees', 'state', 'kindergartens', 'doubled', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2534,Deputy district prosecutor in Fergana detained for bribery,2024-05-01,SOCIETY,"['deputy', 'district', 'prosecutor', 'fergana', 'detained', 'bribery']",0.351,0.649,0.0,-0.4019,2024-05,2024-04-29/2024-05-05
2533,Uzbekistan and Germany move to strengthen ties through enhanced cooperation,2024-05-01,POLITICS,"['uzbekistan', 'germany', 'move', 'strengthen', 'ties', 'enhanced', 'cooperation']",0.0,0.723,0.277,0.3182,2024-05,2024-04-29/2024-05-05
